"Routing_plan","FN","FRRR","SRRR","SN"
"FSSwk2/wk4/45/-20/60/50","5","0.2152","0.265","7"
"120/20/90/1-3/0","6","0.6318","0.7095","9"
"FSSwk2/wk4/65/10/60/20","4","0.0859","0.2751","7"
"75/-180/0/1-5/50","6","0.4207","0.3861","7"
"60/10/60/Specialty/20b","5","0.67","0.5804","6"
"40/-60/0/1-5/100","5","0.5475","0.5793","9"
"60/15/90/1-5/75","4","0.6601","0.6648","5"
"30/-60/90/1-5/9999","5","0.6548","0.662","6"
"45/10/100/1-3/20","6","0.6897","0.7047","7"
"90/30/150/1-4/20","3","0.7922","0.805","7"
"FSSwk2/wk4/75/0/60/50","6","0.339","0.3302","8"
"Min/UNL/UNL/1-3/0","6","0.8842","0.7444","7"
"45/-180/90/4-5/18 AM","5","0.4511","0.4403","7"
"Min/UNL/UNL/5-1/4","6","0.9616","0.8441","9"
"45/0/120/1-4/15","7","0.583","0.5476","7"
"Min/0/60/1-3/0","5","0.6577","0.712","4"
"50/0/60/1-1/50","5","0.8231","0.7685","8"
"120/-45/150/5-4/7","5","0.9629","0.9857","4"
"Min/10/60/Specialty/20","9","0.5135","0.4931","18"
"FSSwk2/wk4/60/10/60/0","6","0.1746","0.3001","3"
"Min/10/0/Specialty/10","5","0.6529","0.6523","8"
"60/10/200/1-2/0","11","0.7167","0.7132","14"
"90/20/120/1-2/20","5","0.7597","0.7885","4"
"70/UNL/110/1-4/10","5","0.8775","0.9579","6"
"75/25/140/1-1/10","6","0.8369","0.8404","6"
"85/30/120/1-1/0","4","0.8899","0.9157","7"
"50/0/90 - RUN SECOND!","8","0.5538","0.352","5"
"120/5/90 - RUN LAST!","8","0.5965","0.6814","3"
"45/0/90/Limit 7 - RUN FIRST!","6","0.7552","0.6461","4"
"45/15/60 RUN FIRST","8","0.8095","0.727","13"
"60/10/120 RUN SECOND","1","0.8006","0.733","4"
"30/15/ 90/0","2","0.5871","0.5711","1"
